,Closing Price1,Closing Price2,dif,Ticker
0,4906.22,4800.0,106.22000000000025,NVR
1,549.57,508.9,40.67000000000007,NFLX
2,1514.11,1486.89,27.2199999999998,AZO
3,1532.09,1507.62,24.470000000000027,CMG
4,499.56,491.37,8.189999999999998,WM
5,529.12,523.25,5.8700000000000045,MKTX
6,273.2,269.85,3.349999999999966,BIIB
7,398.05,394.8,3.25,DPZ
8,536.27,533.26,3.009999999999991,ORLY
9,79.24,76.66,2.5799999999999983,ORCL
10,80.53,77.97,2.5600000000000023,NEE
11,280.34,278.26,2.079999999999984,FDX
12,482.36,480.41,1.9499999999999886,TMO
13,514.21,512.34,1.8700000000000045,ADBE
14,99.15,97.28,1.8700000000000045,VTR
15,236.45,234.7,1.75,V
16,168.37,166.78,1.5900000000000034,JBHT
17,141.67,140.14,1.5300000000000011,DTE
18,237.23,235.74,1.4899999999999807,VMC
19,177.9,176.45,1.450000000000017,TTWO
20,218.29,216.84,1.4499999999999886,DG
21,234.82,233.5,1.3199999999999932,AON
22,94.47,93.18,1.289999999999992,ATVI
23,139.86,138.6,1.2600000000000193,SRE
24,104.59,103.39,1.2000000000000028,ATO
25,302.65,301.47,1.17999999999995,FB
26,179.69,178.57,1.1200000000000045,UPS
27,90.58,89.53,1.0499999999999972,ES
28,79.35,78.36,0.9899999999999949,ED
29,247.64,246.7,0.9399999999999977,ODFL
30,142.39,141.47,0.9199999999999875,KMB
31,137.75,136.85,0.9000000000000057,PG
32,181.05,180.16,0.8900000000000148,TSCO
33,202.8,201.92,0.8800000000000239,FTNT
34,85.97,85.16,0.8100000000000023,PNW
35,85.89,85.08,0.8100000000000023,AEE
36,90.14,89.35,0.7900000000000063,AEP
37,233.01,232.26,0.75,MCD
38,19.81,19.1,0.7099999999999973,HAL
39,292.02,291.35,0.6699999999999591,SBAC
40,2279.01,2278.35,0.6600000000003092,GOOGL
41,107.37,106.74,0.6300000000000097,NTRS
42,65.27,64.73,0.539999999999992,CMS
43,99.48,98.95,0.5300000000000011,CHRW
44,117.96,117.45,0.5099999999999909,DIS
45,207.27,206.77,0.5,TGT
46,252.67,252.18,0.4899999999999807,AMT
47,134.36,133.94,0.4200000000000159,PKI
48,386.06,385.67,0.38999999999998636,POOL
49,61.52,61.15,0.37000000000000455,EIX
50,253.37,253.0,0.37000000000000455,CI
51,159.68,159.32,0.36000000000001364,NDAQ
52,259.14,258.78,0.36000000000001364,AMGN
53,79.61,79.25,0.35999999999999943,CTSH
54,66.09,65.73,0.35999999999999943,SO
55,2293.63,2293.29,0.3400000000001455,GOOG
56,57.42,57.08,0.3400000000000034,LNT
57,101.41,101.09,0.3199999999999932,DUK
58,161.31,161.0,0.3100000000000023,AWK
59,107.99,107.68,0.30999999999998806,ETR
60,119.76,119.53,0.23000000000000398,ICE
61,71.55,71.32,0.23000000000000398,WAB
62,110.45,110.23,0.21999999999999886,EXPD
63,64.81,64.61,0.20000000000000284,EVRG
64,38.38,38.2,0.17999999999999972,VTRS
65,81.33,81.15,0.1799999999999926,CL
66,26.18,26.03,0.14999999999999858,NI
67,101.53,101.41,0.12000000000000455,LDOS
68,150.94,150.82,0.12000000000000455,DLR
69,45.8,45.68,0.11999999999999744,EXC
70,183.0,182.89,0.11000000000001364,CCI
71,45.79,45.68,0.10999999999999943,DRE
72,81.41,81.3,0.10999999999999943,CBRE
73,63.65,63.55,0.10000000000000142,PEG
74,726.22,726.13,0.09000000000003183,EQIX
75,387.33,387.24,0.08999999999997499,LMT
76,37.85,37.79,0.060000000000002274,NRG
77,114.75,114.71,0.04000000000000625,PLD
78,142.94,142.9,0.03999999999999204,DRI
79,61.79,61.78,0.00999999999999801,EBAY
80,146.39,146.38,0.009999999999990905,EXR
81,35.18,35.18,0.0,ROL
82,35.88,35.9,-0.01999999999999602,FCX
83,16.38,16.4,-0.019999999999999574,COG
84,47.27,47.31,-0.03999999999999915,HRL
85,19.51,19.55,-0.03999999999999915,BKR
86,65.43,65.49,-0.05999999999998806,CNC
87,24.23,24.29,-0.05999999999999872,CNP
88,11.86,11.94,-0.08000000000000007,AMCR
89,80.11,80.2,-0.09000000000000341,D
90,23.45,23.56,-0.10999999999999943,VNO
91,166.48,166.59,-0.11000000000001364,JNJ
92,28.25,28.39,-0.14000000000000057,AES
93,51.79,51.93,-0.14000000000000057,CSCO
94,16.55,16.69,-0.14000000000000057,KMI
95,17.0,17.14,-0.14000000000000057,APA
96,37.76,37.91,-0.14999999999999858,KR
97,84.57,84.72,-0.15000000000000568,INCY
98,105.38,105.55,-0.1700000000000017,AKAM
99,140.86,141.04,-0.1799999999999784,EA
100,127.35,127.53,-0.18000000000000682,MMC
101,273.37,273.56,-0.18999999999999773,PSA
102,94.0,94.19,-0.18999999999999773,PM
103,21.82,22.01,-0.19000000000000128,NLOK
104,20.97,21.17,-0.20000000000000284,DVN
105,29.89,30.11,-0.21999999999999886,T
106,12.68,12.9,-0.22000000000000064,LUMN
107,25.33,25.56,-0.23000000000000043,JNPR
108,55.48,55.71,-0.23000000000000398,VAR
109,76.12,76.36,-0.23999999999999488,VRSK
110,66.08,66.32,-0.23999999999999488,BMY
111,15.75,15.99,-0.2400000000000002,HPE
112,25.97,26.22,-0.25,VFC
113,124.56,124.82,-0.2599999999999909,FISV
114,34.05,34.32,-0.2700000000000031,PEAK
115,38.27,38.55,-0.27999999999999403,CAG
116,11.45,11.73,-0.28000000000000114,F
117,67.73,68.02,-0.28999999999999204,HES
118,13.06,13.35,-0.28999999999999915,GE
119,12.76,13.07,-0.3100000000000005,NOV
120,53.39,53.7,-0.3100000000000023,VIAC
121,64.22,64.54,-0.3200000000000074,K
122,116.34,116.67,-0.3299999999999983,DLTR
123,10.11,10.44,-0.33000000000000007,MRO
124,15.17,15.5,-0.33000000000000007,HBAN
125,190.61,190.95,-0.339999999999975,LLY
126,59.21,59.57,-0.35999999999999943,MDLZ
127,345.14,345.52,-0.37999999999999545,NOC
128,133.11,133.5,-0.38999999999998636,AAPL
129,19.79,20.18,-0.39000000000000057,KIM
130,47.19,47.58,-0.39000000000000057,MO
131,68.57,68.96,-0.39000000000000057,EOG
132,50.14,50.55,-0.4099999999999966,CPB
133,16.94,17.35,-0.41000000000000014,HST
134,66.38,66.79,-0.4100000000000108,GILD
135,192.2,192.63,-0.4300000000000068,EFX
136,652.46,652.9,-0.4399999999999409,CHTR
137,54.17,54.61,-0.4399999999999977,KO
138,309.43,309.87,-0.4399999999999977,EL
139,17.36,17.8,-0.4400000000000013,PBCT
140,126.71,127.15,-0.44000000000001194,RJF
141,595.75,596.19,-0.44000000000005457,TDG
142,264.43,264.89,-0.45999999999997954,PYPL
143,29.0,29.46,-0.46000000000000085,PPL
144,62.3,62.76,-0.46000000000000085,GIS
145,26.5,26.97,-0.46999999999999886,NWL
146,116.27,116.74,-0.46999999999999886,SBUX
147,48.5,48.98,-0.4799999999999969,SEE
148,25.25,25.73,-0.4800000000000004,SLB
149,29.09,29.58,-0.48999999999999844,BEN
150,54.16,54.655,-0.49500000000000455,CMCSA
151,39.03,39.53,-0.5,PFE
152,56.41,56.91,-0.5,IP
153,24.81,25.31,-0.5,NLSN
154,36.28,36.79,-0.509999999999998,FE
155,118.45,118.97,-0.519999999999996,BBY
156,33.37,33.9,-0.5300000000000011,HPQ
157,42.52,43.06,-0.5399999999999991,CARR
158,41.03,41.58,-0.5499999999999972,KHC
159,63.5,64.05,-0.5499999999999972,MAS
160,20.0,20.55,-0.5500000000000007,RF
161,25.79,26.35,-0.5600000000000023,IVZ
162,140.94,141.5,-0.5600000000000023,CDNS
163,75.32,75.89,-0.5700000000000074,CERN
164,70.47,71.04,-0.5700000000000074,OTIS
165,43.87,44.445,-0.5750000000000028,LKQ
166,97.4,97.99,-0.5899999999999892,MNST
167,45.82,46.41,-0.5899999999999963,UDR
168,19.84,20.44,-0.6000000000000014,KEY
169,50.34,50.95,-0.6099999999999994,IR
170,39.57,40.18,-0.6099999999999994,SYF
171,46.58,47.19,-0.6099999999999994,BK
172,92.29,92.9,-0.6099999999999994,BLL
173,28.2,28.83,-0.629999999999999,UNM
174,179.24,179.88,-0.6399999999999864,ARE
175,20.37,21.01,-0.6400000000000006,AAL
176,38.08,38.72,-0.6400000000000006,BAC
177,132.45,133.09,-0.6400000000000148,ALLE
178,52.51,53.16,-0.6499999999999986,PHM
179,129.37,130.02,-0.6500000000000057,DGX
180,120.5,121.16,-0.6599999999999966,ABC
181,151.78,152.44,-0.6599999999999966,FIS
182,61.05,61.71,-0.6600000000000037,CAH
183,78.57,79.23,-0.6600000000000108,MRK
184,65.48,66.15,-0.6700000000000017,XRAY
185,61.2,61.88,-0.6799999999999997,JCI
186,30.01,30.69,-0.6799999999999997,IPG
187,42.05,42.73,-0.6799999999999997,PRGO
188,45.56,46.25,-0.6899999999999977,GLW
189,31.04,31.73,-0.6900000000000013,DXC
190,24.71,25.41,-0.6999999999999993,NWS
191,42.54,43.24,-0.7000000000000028,VRSN
192,104.28,104.99,-0.7099999999999937,CBOE
193,97.51,98.22,-0.7099999999999937,PAYX
194,55.29,56.0,-0.7100000000000009,XOM
195,36.65,37.36,-0.7100000000000009,FOX
196,33.75,34.47,-0.7199999999999989,HFC
197,89.17,89.89,-0.7199999999999989,CHD
198,75.19,75.91,-0.7199999999999989,NTAP
199,67.75,68.48,-0.730000000000004,TJX
200,52.43,53.17,-0.740000000000002,TAP
201,68.59,69.34,-0.75,O
202,58.23,58.98,-0.75,FLIR
203,39.49,40.24,-0.75,IRM
204,162.19,162.94,-0.75,HSY
205,56.22,56.99,-0.7700000000000031,USB
206,74.09,74.87,-0.7800000000000011,EQR
207,75.91,76.7,-0.7900000000000063,CVS
208,138.2,139.0,-0.8000000000000114,GRMN
209,37.8,38.61,-0.8100000000000023,FOXA
210,67.11,67.93,-0.8200000000000074,AOS
211,19.76,20.59,-0.8299999999999983,HBI
212,26.49,27.32,-0.8300000000000018,NWSA
213,87.07,87.9,-0.8300000000000125,BAX
214,206.12,206.97,-0.8499999999999943,CME
215,69.79,70.65,-0.8599999999999994,C
216,105.01,105.89,-0.8799999999999955,RSG
217,53.93,54.81,-0.8800000000000026,L
218,136.26,137.17,-0.9099999999999966,AJG
219,52.59,53.5,-0.9099999999999966,AFL
220,36.44,37.36,-0.9200000000000017,FITB
221,31.0,31.93,-0.9299999999999997,HWM
222,51.13,52.06,-0.9299999999999997,FAST
223,63.44,64.37,-0.9300000000000068,PNR
224,192.68,193.62,-0.9399999999999977,AVB
225,66.79,67.73,-0.9399999999999977,APH
226,364.94,365.88,-0.9399999999999977,ANSS
227,17.79,18.73,-0.9400000000000013,UA
228,96.73,97.69,-0.9599999999999937,HAS
229,65.84,66.82,-0.9799999999999898,NEM
230,58.22,59.2,-0.980000000000004,TXT
231,74.27,75.26,-0.9900000000000091,FANG
232,62.7,63.7,-1.0,INTC
233,207.57,208.57,-1.0,HII
234,55.75,56.77,-1.0200000000000031,TFC
235,31.78,32.81,-1.0300000000000011,GPS
236,122.87,123.9,-1.0300000000000011,ALL
237,78.53,79.58,-1.0499999999999972,TSN
238,180.74,181.83,-1.0900000000000034,CDW
239,58.71,59.83,-1.1199999999999974,ADM
240,127.8,128.93,-1.1300000000000097,KMX
241,202.77,203.91,-1.1399999999999864,LOW
242,21.23,22.37,-1.1400000000000006,UAA
243,132.51,133.66,-1.1500000000000057,SJM
244,32.21,33.38,-1.1700000000000017,MOS
245,41.13,42.31,-1.1799999999999997,BSX
246,62.4,63.58,-1.1799999999999997,LNC
247,145.92,147.1,-1.1800000000000068,PXD
248,64.12,65.31,-1.1899999999999977,LB
249,198.04,199.23,-1.1899999999999977,AVY
250,75.95,77.14,-1.1899999999999977,BF.B
251,185.27,186.48,-1.2099999999999795,MSI
252,45.53,46.76,-1.2299999999999969,AIG
253,103.9,105.15,-1.25,INFO
254,81.25,82.5,-1.25,RHI
255,44.45,45.7,-1.25,DAL
256,23.2,24.45,-1.25,OXY
257,121.29,122.55,-1.259999999999991,CPRT
258,52.05,53.31,-1.2600000000000051,MPC
259,323.76,325.03,-1.2699999999999818,MCO
260,149.27,150.54,-1.2699999999999818,JPM
261,145.71,146.98,-1.2699999999999818,PEP
262,106.13,107.4,-1.2700000000000102,BXP
263,73.82,75.09,-1.2700000000000102,HOLX
264,90.83,92.11,-1.2800000000000011,EMR
265,52.35,53.65,-1.2999999999999972,WEC
266,90.62,91.92,-1.2999999999999972,MKC
267,46.96,48.28,-1.3200000000000003,CTVA
268,42.71,44.04,-1.3299999999999983,CFG
269,112.2,113.54,-1.3400000000000034,DVA
270,72.56,73.91,-1.3499999999999943,FTV
271,100.64,101.99,-1.3499999999999943,FBHS
272,260.0,261.36,-1.3600000000000136,LH
273,91.93,93.3,-1.3699999999999903,DHI
274,132.46,133.83,-1.3700000000000045,A
275,48.65,50.04,-1.3900000000000006,COP
276,61.5,62.89,-1.3900000000000006,PFG
277,101.33,102.73,-1.4000000000000057,CVX
278,43.52,44.93,-1.4099999999999966,TPR
279,168.74,170.15,-1.4099999999999966,WYNN
280,131.5,132.91,-1.4099999999999966,COF
281,99.79,101.21,-1.4199999999999875,PGR
282,194.47,195.89,-1.4199999999999875,CLX
283,140.81,142.25,-1.4399999999999977,PKG
284,443.0,444.45,-1.4499999999999886,HUM
285,48.79,50.26,-1.4699999999999989,LEG
286,82.41,83.88,-1.4699999999999989,STX
287,67.98,69.46,-1.4799999999999898,VRTX
288,46.23,47.71,-1.480000000000004,CF
289,61.16,62.65,-1.490000000000002,MET
290,192.81,194.31,-1.5,ADP
291,194.53,196.04,-1.509999999999991,MCK
292,50.63,52.16,-1.529999999999994,OKE
293,92.1,93.63,-1.5300000000000011,PCAR
294,78.6,80.14,-1.5400000000000063,STT
295,50.3,51.86,-1.5600000000000023,UAL
296,130.55,132.12,-1.5699999999999932,TMUS
297,79.42,81.0,-1.5799999999999983,TRMB
298,75.42,77.02,-1.5999999999999943,PSX
299,60.13,61.73,-1.5999999999999943,REG
300,96.8,98.4,-1.6000000000000085,DFS
301,25.72,27.33,-1.6099999999999994,CCL
302,68.68,70.3,-1.6199999999999903,VLO
303,65.7,67.33,-1.6299999999999955,TWTR
304,155.73,157.38,-1.6500000000000057,TRV
305,143.0,144.65,-1.6500000000000057,KEYS
306,39.55,41.2,-1.6500000000000057,MGM
307,122.22,123.91,-1.6899999999999977,HLT
308,78.49,80.18,-1.690000000000012,NUE
309,256.44,258.14,-1.6999999999999886,BDX
310,79.16,80.87,-1.710000000000008,LW
311,154.03,155.74,-1.710000000000008,AIZ
312,63.69,65.4,-1.710000000000008,SCHW
313,65.73,67.45,-1.7199999999999989,HIG
314,59.04,60.76,-1.7199999999999989,LVS
315,55.77,57.49,-1.7199999999999989,GM
316,154.69,156.42,-1.7299999999999898,MAA
317,78.86,80.59,-1.730000000000004,OMC
318,109.03,110.8,-1.769999999999996,ABBV
319,184.07,185.85,-1.7800000000000011,GD
320,70.52,72.3,-1.7800000000000011,HSIC
321,77.09,78.87,-1.7800000000000011,RTX
322,93.75,95.57,-1.8199999999999932,PWR
323,67.3,69.15,-1.8500000000000085,CMA
324,210.2,212.05,-1.8500000000000227,LHX
325,234.06,235.92,-1.8599999999999852,BA
326,113.0,114.86,-1.8599999999999994,FMC
327,217.12,219.0,-1.8799999999999955,IQV
328,100.1,101.98,-1.8800000000000097,LEN
329,107.59,109.48,-1.8900000000000006,WBA
330,158.85,160.75,-1.9000000000000057,BR
331,166.54,168.44,-1.9000000000000057,ALXN
332,109.36,111.27,-1.9099999999999966,CTLT
333,96.02,97.93,-1.9100000000000108,PRU
334,66.9,68.83,-1.9299999999999926,ALK
335,77.29,79.25,-1.9599999999999937,MS
336,128.28,130.25,-1.9699999999999989,MDT
337,191.43,193.42,-1.9899999999999807,IT
338,119.25,121.24,-1.9899999999999949,GPC
339,323.96,325.95,-1.990000000000009,HD
340,87.48,89.49,-2.009999999999991,MU
341,141.82,143.86,-2.0400000000000205,IFF
342,103.32,105.37,-2.0500000000000114,GL
343,504.42,506.48,-2.0600000000000023,REGN
344,145.1,147.18,-2.0800000000000125,AXP
345,80.31,82.4,-2.0900000000000034,SYY
346,288.6,290.72,-2.1200000000000045,ACN
347,30.2,32.33,-2.129999999999999,DISCK
348,213.03,215.17,-2.1399999999999864,GPN
349,294.87,297.01,-2.1399999999999864,ESS
350,172.62,174.76,-2.1399999999999864,FRC
351,295.5,297.65,-2.1499999999999773,KSU
352,222.47,224.63,-2.1599999999999966,IEX
353,59.85,62.04,-2.1899999999999977,LUV
354,130.89,133.09,-2.200000000000017,AME
355,47.93,50.14,-2.210000000000001,BWA
356,163.85,166.09,-2.240000000000009,JKHY
357,107.04,109.31,-2.269999999999996,FRT
358,133.19,135.46,-2.2700000000000102,J
359,112.07,114.35,-2.280000000000001,EMN
360,396.53,398.81,-2.2800000000000296,UNH
361,92.58,94.87,-2.2900000000000063,MXIM
362,168.2,170.5,-2.3000000000000114,TT
363,258.26,260.58,-2.319999999999993,MSFT
364,62.48,64.82,-2.3399999999999963,DOW
365,79.27,81.61,-2.3400000000000034,AMD
366,371.73,374.09,-2.359999999999957,COST
367,75.13,77.49,-2.3599999999999994,DD
368,250.17,252.56,-2.390000000000015,SNPS
369,124.96,127.37,-2.410000000000011,ROST
370,234.57,236.99,-2.420000000000016,SNA
371,207.01,209.5,-2.490000000000009,FFIV
372,286.36,288.87,-2.509999999999991,ADSK
373,457.26,459.79,-2.5300000000000296,AVGO
374,241.85,244.4,-2.5500000000000114,DHR
375,198.3,200.88,-2.579999999999984,MMM
376,468.03,470.62,-2.590000000000032,MSCI
377,120.0,122.6,-2.5999999999999943,ABT
378,227.96,230.56,-2.5999999999999943,CRM
379,176.55,179.2,-2.6499999999999773,TROW
380,26.75,29.51,-2.7600000000000016,NCLH
381,220.67,223.43,-2.7600000000000193,UNP
382,141.97,144.76,-2.789999999999992,MAR
383,133.4,136.19,-2.789999999999992,QCOM
384,127.11,129.9,-2.7900000000000063,NKE
385,205.7,208.51,-2.8100000000000023,RMD
386,238.31,241.13,-2.819999999999993,STZ
387,78.45,81.28,-2.8299999999999983,LYV
388,173.81,176.65,-2.8400000000000034,WAT
389,106.97,109.84,-2.8700000000000045,CINF
390,206.86,209.76,-2.8999999999999773,ETSY
391,381.88,384.84,-2.9599999999999795,ANTM
392,144.88,147.88,-3.0,UHS
393,35.47,38.48,-3.009999999999998,DISCA
394,138.46,141.51,-3.049999999999983,ETN
395,259.98,263.07,-3.089999999999975,CMI
396,426.55,429.65,-3.099999999999966,ROP
397,284.75,287.86,-3.1100000000000136,FLT
398,155.54,158.66,-3.1200000000000045,CE
399,209.39,212.52,-3.130000000000024,STE
400,220.84,223.98,-3.1399999999999864,ECL
401,227.33,230.5,-3.1699999999999875,HON
402,119.44,122.63,-3.1899999999999977,RL
403,149.67,152.99,-3.3200000000000216,MTB
404,123.62,126.95,-3.3299999999999983,WMT
405,161.71,165.07,-3.359999999999985,CB
406,114.26,117.63,-3.3699999999999903,SPG
407,138.12,141.5,-3.3799999999999955,CTXS
408,331.88,335.27,-3.3899999999999864,GS
409,202.94,206.34,-3.4000000000000057,SWK
410,171.73,175.13,-3.4000000000000057,PNC
411,104.64,108.12,-3.480000000000004,LYB
412,89.0,92.51,-3.510000000000005,PENN
413,400.48,404.02,-3.5399999999999636,COO
414,405.37,408.95,-3.579999999999984,INTU
415,81.07,84.69,-3.6200000000000045,RCL
416,185.27,188.9,-3.6299999999999955,TXN
417,379.06,382.76,-3.6999999999999886,SPGI
418,267.24,270.96,-3.7199999999999704,SHW
419,154.47,158.29,-3.819999999999993,ADI
420,182.72,186.62,-3.9000000000000057,SWKS
421,222.86,226.82,-3.9599999999999795,ITW
422,144.86,148.83,-3.969999999999999,DOV
423,36.89,40.94,-4.049999999999997,DISH
424,284.54,288.63,-4.089999999999975,APD
425,135.04,139.18,-4.140000000000015,APTV
426,98.45,102.69,-4.239999999999995,CSX
427,267.89,272.21,-4.319999999999993,BRK.B
428,121.64,125.99,-4.349999999999994,WRB
429,219.28,223.67,-4.389999999999986,IPGP
430,89.88,94.28,-4.400000000000006,CZR
431,148.52,153.05,-4.530000000000001,ALB
432,169.0,173.57,-4.569999999999993,PPG
433,192.94,197.53,-4.590000000000003,HCA
434,263.22,267.82,-4.599999999999966,ROK
435,319.19,323.83,-4.639999999999986,VZ
436,227.63,232.46,-4.8300000000000125,CAT
437,149.73,154.65,-4.920000000000016,MCHP
438,398.39,403.33,-4.939999999999998,ILMN
439,242.38,247.33,-4.950000000000017,AMP
440,196.05,201.11,-5.060000000000002,MHK
441,128.39,133.5,-5.110000000000014,TEL
442,262.43,267.64,-5.2099999999999795,RE
443,183.95,189.21,-5.260000000000019,QRVO
444,370.27,375.6,-5.330000000000041,DE
445,138.16,143.55,-5.390000000000015,IBM
446,312.16,317.6,-5.439999999999998,PH
447,258.43,263.89,-5.4599999999999795,SYK
448,89.63,95.24,-5.609999999999999,EW
449,101.9,107.55,-5.6499999999999915,PVH
450,124.27,129.94,-5.670000000000002,TER
451,316.94,322.63,-5.689999999999998,ULTA
452,540.78,546.47,-5.690000000000055,NOW
453,170.46,176.26,-5.799999999999983,EXPE
454,382.42,388.25,-5.829999999999984,PAYC
455,446.14,451.99,-5.850000000000023,TYL
456,341.7,347.65,-5.949999999999989,CTAS
457,193.91,199.87,-5.960000000000008,AAP
458,310.74,316.75,-6.009999999999991,URI
459,628.3,634.31,-6.009999999999991,BIO
460,285.84,291.97,-6.130000000000052,LIN
461,431.86,438.28,-6.419999999999959,TFX
462,128.59,135.05,-6.460000000000008,AMAT
463,376.63,383.1,-6.470000000000027,MA
464,804.96,811.53,-6.569999999999936,BLK
465,309.53,316.42,-6.890000000000043,ANET
466,273.31,280.46,-7.149999999999977,NSC
467,193.86,201.13,-7.269999999999982,NXPI
468,344.61,351.93,-7.319999999999993,MLM
469,606.85,614.42,-7.569999999999936,NVDA
470,147.0,155.08,-8.080000000000013,ENPH
471,532.27,541.08,-8.81000000000006,IDXX
472,313.77,323.02,-9.25,GNRC
473,413.7,424.04,-10.340000000000032,GWW
474,425.64,436.01,-10.370000000000005,TDY
475,330.1,342.64,-12.539999999999964,ABMD
476,388.91,401.62,-12.70999999999998,DXCM
477,2345.0,2357.73,-12.730000000000018,BKNG
478,318.92,331.79,-12.870000000000005,KLAC
479,364.28,377.57,-13.29000000000002,MPWR
480,596.2,616.08,-19.879999999999995,ALGN
481,507.71,528.0,-20.29000000000002,SIVB
482,718.99,744.12,-25.129999999999995,TSLA
483,3334.69,3362.02,-27.329999999999927,AMZN
484,613.03,641.25,-28.220000000000027,LRCX
485,1276.91,1311.14,-34.23000000000002,MTD
486,811.11,891.38,-80.26999999999998,ISRG
